Date,Round,Match,Home,Away,CompetitionID,MatchID
2026-03-21,2,Bay FC 1-3 Angel City,Bay FC,Angel City,4mrfrvsjf1xhltsvqyb6lx250,18m4ty714m5qv1ogjdgcc1t78
2026-03-21,2,Gotham FC 0-0 North Carolina Courage,Gotham FC,North Carolina Courage,4mrfrvsjf1xhltsvqyb6lx250,17xxlv14wd5p28p82a9s9z9xw
2026-03-21,2,Houston Dash 3-0 Boston Legacy,Houston Dash,Boston Legacy,4mrfrvsjf1xhltsvqyb6lx250,17e6m8sz7n0vy6p9egtmryyhg
2026-03-20,2,Portland Thorns 2-0 Seattle Reign,Portland Thorns,Seattle Reign,4mrfrvsjf1xhltsvqyb6lx250,16uei22c9j78acp9948pigro4
2026-03-20,2,Orlando Pride 1-1 Denver Summit,Orlando Pride,Denver Summit,4mrfrvsjf1xhltsvqyb6lx250,168wrflim16zrsrc6mxx9g104
2026-03-20,2,Racing Louisville 2-2 Washington Spirit,Racing Louisville,Washington Spirit,4mrfrvsjf1xhltsvqyb6lx250,15q0ubdd38hhblrdt7oumn4t0
2026-03-15,1,Angel City 4-0 Chicago Stars,Angel City,Chicago Stars,4mrfrvsjf1xhltsvqyb6lx250,1563pj1x2jyh7buipbkj0hp90
2026-03-15,1,Orlando Pride 1-2 Seattle Reign,Orlando Pride,Seattle Reign,4mrfrvsjf1xhltsvqyb6lx250,14i7h8hdby7hc24i911pw7h1w
2026-03-14,1,San Diego Wave 0-1 Houston Dash,San Diego Wave,Houston Dash,4mrfrvsjf1xhltsvqyb6lx250,13vct5a225o4f3xxcixkgocno
2026-03-14,1,North Carolina Courage 2-1 Racing Louisville,North Carolina Courage,Racing Louisville,4mrfrvsjf1xhltsvqyb6lx250,138ahn883jvhbphokqzktmivo
2026-03-14,1,Bay FC 2-1 Denver Summit,Bay FC,Denver Summit,4mrfrvsjf1xhltsvqyb6lx250,12l6syfb1zlde5imn5cvbqolw
2026-03-14,1,Kansas City Current 2-1 Utah Royals,Kansas City Current,Utah Royals,4mrfrvsjf1xhltsvqyb6lx250,11xvhouxl52x8fg7p12f013x0
2026-03-14,1,Boston Legacy 0-1 Gotham FC,Boston Legacy,Gotham FC,4mrfrvsjf1xhltsvqyb6lx250,119uck778bjogavf7iasvqzo4
2026-03-13,1,Washington Spirit 0-1 Portland Thorns,Washington Spirit,Portland Thorns,4mrfrvsjf1xhltsvqyb6lx250,10k6xigs31oxgxrlol52xh3pw
