Date,Round,Match,Home,Away,CompetitionID,MatchID
2026-03-22,3,Tukums 1-2 Super Nova,Tukums,Super Nova,d1tk0recez2ejvsidutwviwwk,9tr2h6wb08nagly9w0wlvp1ck
2026-03-21,3,Jelgava 0-1 Grobiņa,Jelgava,Grobiņa,d1tk0recez2ejvsidutwviwwk,9t7phf782pgyuuha9fon48t90
2026-03-21,3,RFS 4-1 Daugavpils,RFS,Daugavpils,d1tk0recez2ejvsidutwviwwk,9sp5kqtvmmi4dh3e3h6aalpg4
2026-03-20,3,Ogre United 0-1 Liepāja,Ogre United,Liepāja,d1tk0recez2ejvsidutwviwwk,9s6dhpw9opmbn7cg6z2ax3uhg
2026-03-20,3,Auda 1-2 Riga FC,Auda,Riga FC,d1tk0recez2ejvsidutwviwwk,9rkzqyyxo7zltnxpsidiinbx0
2026-03-15,2,Ogre United 1-1 Tukums,Ogre United,Tukums,d1tk0recez2ejvsidutwviwwk,9r1mf7u9r5i21w2yf9nv0v7ys
2026-03-15,2,Super Nova 1-1 Jelgava,Super Nova,Jelgava,d1tk0recez2ejvsidutwviwwk,9qht66k4shn8iuot64w4vau50
2026-03-14,2,Riga FC 4-2 Daugavpils,Riga FC,Daugavpils,d1tk0recez2ejvsidutwviwwk,9pz8meorsmp4rhydcmyjn0pw4
2026-03-14,2,Grobiņa 0-2 Auda,Grobiņa,Auda,d1tk0recez2ejvsidutwviwwk,9pgk6497sraeo50arnacx45jo
2026-03-13,2,Liepāja 0-1 RFS,Liepāja,RFS,d1tk0recez2ejvsidutwviwwk,9oxy6s2kii1llk40sfl9u4bo4
2026-03-08,1,Auda 2-1 Super Nova,Auda,Super Nova,d1tk0recez2ejvsidutwviwwk,9ofdly7xrjrbqr7o4a2yw4jys
2026-03-08,1,Jelgava 2-1 Tukums,Jelgava,Tukums,d1tk0recez2ejvsidutwviwwk,9nt9uaai39iblqebalj4c5xqs
2026-03-07,1,Liepāja 2-1 Riga FC,Liepāja,Riga FC,d1tk0recez2ejvsidutwviwwk,9n7glwxoknp0z4sb8olf62x3o
2026-03-07,1,Daugavpils 0-1 Grobiņa,Daugavpils,Grobiņa,d1tk0recez2ejvsidutwviwwk,9mjzjztintl9wjvgsqw4puvx0
2026-03-06,1,RFS 2-0 Ogre United,RFS,Ogre United,d1tk0recez2ejvsidutwviwwk,9luty0jkfbvj3d4my7jjpfdas
